"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"159","birth_where","idp_settlement","health_center","no",0.235690235690236,NA,0.18736089496624,0.284019576414232,"region","middle_shabelle"
"160","birth_where","idp_settlement","health_center","yes",0.394495412844037,NA,0.302630420146087,0.486360405541986,"region","middle_shabelle"
"161","birth_where","idp_settlement","home","no",0.542087542087542,NA,0.485355121429974,0.598819962745111,"region","middle_shabelle"
"162","birth_where","idp_settlement","home","yes",0.155963302752294,NA,0.0877667811753843,0.224159824329203,"region","middle_shabelle"
"163","birth_where","idp_settlement","dnk","no",0.0336700336700337,NA,0.0131305335101708,0.0542095338298965,"region","middle_shabelle"
"164","birth_where","idp_settlement","dnk","yes",0.146788990825688,NA,0.0802700516052347,0.213307930046141,"region","middle_shabelle"
"165","birth_where","idp_settlement","traditional","no",0.134680134680135,NA,0.0958073655019365,0.173552903858333,"region","middle_shabelle"
"166","birth_where","idp_settlement","traditional","yes",0.247706422018349,NA,0.166566860288307,0.32884598374839,"region","middle_shabelle"
"167","birth_where","idp_settlement","no_birth","no",0.0538720538720539,NA,0.0281644219271958,0.0795796858169119,"region","middle_shabelle"
"168","birth_where","idp_settlement","no_birth","yes",0.055045871559633,NA,0.0121773913666242,0.0979143517526419,"region","middle_shabelle"
"169","birth_where","idp_settlement","health_center","no",0.423676012461059,NA,0.369567816947117,0.477784207975002,"region","nugaal"
"170","birth_where","idp_settlement","health_center","yes",0.465,NA,0.39580835586106,0.53419164413894,"region","nugaal"
"171","birth_where","idp_settlement","home","no",0.35202492211838,NA,0.299727699940753,0.404322144296007,"region","nugaal"
"172","birth_where","idp_settlement","home","yes",0.31,NA,0.24584128231263,0.37415871768737,"region","nugaal"
"173","birth_where","idp_settlement","traditional","no",0.133956386292835,NA,0.0966602057941659,0.171252566791504,"region","nugaal"
"174","birth_where","idp_settlement","traditional","yes",0.12,NA,0.0749201728539952,0.165079827146005,"region","nugaal"
"175","birth_where","idp_settlement","dnk","no",0.0467289719626168,NA,0.0236182200791077,0.0698397238461259,"region","nugaal"
"176","birth_where","idp_settlement","dnk","yes",0.03,NA,0.00633553025866188,0.0536644697413381,"region","nugaal"
"177","birth_where","idp_settlement","no_birth","no",0.043613707165109,NA,0.021250147224994,0.0659772671052241,"region","nugaal"
"178","birth_where","idp_settlement","no_birth","yes",0.075,NA,0.0384614102622801,0.11153858973772,"region","nugaal"
"179","birth_where","idp_settlement","home","no",0.323024054982818,NA,0.285005327942351,0.361042782023285,"region","bari"
"180","birth_where","idp_settlement","home","yes",0.30952380952381,NA,0.228746176137211,0.390301442910408,"region","bari"
"181","birth_where","idp_settlement","traditional","no",0.13745704467354,NA,0.109462888052079,0.165451201295,"region","bari"
"182","birth_where","idp_settlement","traditional","yes",0.0714285714285714,NA,0.0264284815819726,0.11642866127517,"region","bari"
"183","birth_where","idp_settlement","health_center","no",0.463917525773196,NA,0.423373234326158,0.504461817220234,"region","bari"
"184","birth_where","idp_settlement","health_center","yes",0.587301587301587,NA,0.501278162877901,0.673325011725273,"region","bari"
"185","birth_where","idp_settlement","dnk","no",0.0240549828178694,NA,0.0115981188552061,0.0365118467805327,"region","bari"
"186","birth_where","idp_settlement","dnk","yes",0.0238095238095238,NA,0,0.0504481840281181,"region","bari"
"187","birth_where","idp_settlement","no_birth","no",0.0515463917525773,NA,0.0335700754043872,0.0695227081007675,"region","bari"
"188","birth_where","idp_settlement","no_birth","yes",0.00793650793650794,NA,0,0.0234408807159897,"region","bari"
"189","birth_where","idp_settlement","home","no",0.701525054466231,NA,0.659633423302671,0.743416685629791,"region","sanaag"
"190","birth_where","idp_settlement","home","yes",0.690082644628099,NA,0.631775214799046,0.748390074457153,"region","sanaag"
"191","birth_where","idp_settlement","dnk","no",0.0544662309368192,NA,0.0336906143990349,0.0752418474746034,"region","sanaag"
"192","birth_where","idp_settlement","dnk","yes",0.0206611570247934,NA,0.00272645331962976,0.038595860729957,"region","sanaag"
"193","birth_where","idp_settlement","no_birth","no",0.0305010893246187,NA,0.0147582495626048,0.0462439290866327,"region","sanaag"
"194","birth_where","idp_settlement","no_birth","yes",0.0785123966942149,NA,0.0445995487193239,0.112425244669106,"region","sanaag"
"195","birth_where","idp_settlement","traditional","no",0.0980392156862745,NA,0.0708156204408484,0.125262810931701,"region","sanaag"
"196","birth_where","idp_settlement","traditional","yes",0.0371900826446281,NA,0.0133320709977977,0.0610480942914585,"region","sanaag"
"197","birth_where","idp_settlement","health_center","no",0.115468409586057,NA,0.0862107216576262,0.144726097514487,"region","sanaag"
"198","birth_where","idp_settlement","health_center","yes",0.173553719008264,NA,0.12580357627993,0.221303861736599,"region","sanaag"
"199","birth_where","idp_settlement","health_center","no",0.32258064516129,NA,0.280062746627888,0.365098543694693,"region","togdheer"
"200","birth_where","idp_settlement","health_center","yes",0.255905511811024,NA,0.202203900164323,0.309607123457725,"region","togdheer"
"201","birth_where","idp_settlement","home","no",0.516129032258065,NA,0.470675486795891,0.561582577720238,"region","togdheer"
"202","birth_where","idp_settlement","home","yes",0.641732283464567,NA,0.582723829316164,0.700740737612969,"region","togdheer"
"203","birth_where","idp_settlement","no_birth","no",0.0924731182795699,NA,0.0661242881236713,0.118821948435468,"region","togdheer"
"204","birth_where","idp_settlement","no_birth","yes",0.0354330708661417,NA,0.012681885124052,0.0581842566082315,"region","togdheer"
"205","birth_where","idp_settlement","dnk","no",0.0279569892473118,NA,0.0129631870117327,0.0429507914828909,"region","togdheer"
"206","birth_where","idp_settlement","dnk","yes",0.0275590551181102,NA,0.00741266516935086,0.0477054450668696,"region","togdheer"
"207","birth_where","idp_settlement","traditional","no",0.0408602150537634,NA,0.0228543034146892,0.0588661266928377,"region","togdheer"
"208","birth_where","idp_settlement","traditional","yes",0.0393700787401575,NA,0.015437215874399,0.063302941605916,"region","togdheer"
"209","birth_where","idp_settlement","home","no",0.415094339622642,NA,0.364923126268062,0.465265552977221,"region","sool"
"210","birth_where","idp_settlement","home","yes",0.62227602905569,NA,0.575488616903764,0.669063441207617,"region","sool"
"211","birth_where","idp_settlement","health_center","no",0.442048517520216,NA,0.391481018623124,0.492616016417308,"region","sool"
"212","birth_where","idp_settlement","health_center","yes",0.210653753026634,NA,0.171301591680076,0.250005914373193,"region","sool"
"213","birth_where","idp_settlement","no_birth","no",0.0808625336927224,NA,0.0531036374382502,0.108621429947195,"region","sool"
"214","birth_where","idp_settlement","no_birth","yes",0.0411622276029056,NA,0.0219900158294097,0.0603344393764014,"region","sool"
"215","birth_where","idp_settlement","dnk","no",0.0188679245283019,NA,0.00501427844034654,0.0327215706162572,"region","sool"
"216","birth_where","idp_settlement","dnk","yes",0.0242130750605327,NA,0.00937926591777178,0.0390468842032936,"region","sool"
"217","birth_where","idp_settlement","traditional","no",0.0431266846361186,NA,0.0224424933824208,0.0638108758898164,"region","sool"
"218","birth_where","idp_settlement","traditional","yes",0.101694915254237,NA,0.0725265718845247,0.13086325862395,"region","sool"
"219","birth_where","idp_settlement","health_center","no",0.475308641975309,NA,0.420885007264671,0.529732276685946,"region","woqooyi_galbeed"
"220","birth_where","idp_settlement","health_center","yes",0.792307692307692,NA,0.742957289100058,0.841658095515327,"region","woqooyi_galbeed"
"221","birth_where","idp_settlement","home","no",0.407407407407407,NA,0.353859771492148,0.460955043322667,"region","woqooyi_galbeed"
"222","birth_where","idp_settlement","home","yes",0.0884615384615385,NA,0.0539154957005529,0.123007581222524,"region","woqooyi_galbeed"
"223","birth_where","idp_settlement","traditional","no",0.0339506172839506,NA,0.0142140675534285,0.0536871670144728,"region","woqooyi_galbeed"
"224","birth_where","idp_settlement","traditional","yes",0.05,NA,0.0234856876578116,0.0765143123421884,"region","woqooyi_galbeed"
"225","birth_where","idp_settlement","dnk","no",0.0308641975308642,NA,0.0120160988923609,0.0497122961693675,"region","woqooyi_galbeed"
"226","birth_where","idp_settlement","dnk","yes",0.0230769230769231,NA,0.00481053421904392,0.0413433119348022,"region","woqooyi_galbeed"
"227","birth_where","idp_settlement","no_birth","no",0.0524691358024691,NA,0.0281696899127778,0.0767685816921605,"region","woqooyi_galbeed"
"228","birth_where","idp_settlement","no_birth","yes",0.0461538461538462,NA,0.0206282038739126,0.0716794884337797,"region","woqooyi_galbeed"
"229","birth_where","idp_settlement","health_center","no",0.476950354609929,NA,0.435700962813263,0.518199746406595,"region","awdal"
"230","birth_where","idp_settlement","health_center","yes",0.607594936708861,NA,0.531405477971662,0.68378439544606,"region","awdal"
"231","birth_where","idp_settlement","home","no",0.409574468085106,NA,0.368962081814819,0.450186854355394,"region","awdal"
"232","birth_where","idp_settlement","home","yes",0.310126582278481,NA,0.237953589242061,0.382299575314901,"region","awdal"
"233","birth_where","idp_settlement","no_birth","no",0.0709219858156028,NA,0.0497224651863331,0.0921215064448725,"region","awdal"
"234","birth_where","idp_settlement","no_birth","yes",0.0126582278481013,NA,0,0.0301020127999479,"region","awdal"
"235","birth_where","idp_settlement","dnk","no",0.0159574468085106,NA,0.00560845250839453,0.0263064411086267,"region","awdal"
"236","birth_where","idp_settlement","dnk","yes",0.00632911392405063,NA,0,0.0187032034335584,"region","awdal"
"237","birth_where","idp_settlement","traditional","no",0.0265957446808511,NA,0.0133076656253502,0.0398838237363519,"region","awdal"
"238","birth_where","idp_settlement","traditional","yes",0.0632911392405063,NA,0.0252989530710128,0.10128332541,"region","awdal"
"239","birth_where","idp_settlement","home","no",0.572597137014315,NA,0.528719780840601,0.616474493188029,"region","gedo"
"240","birth_where","idp_settlement","home","yes",0.449339207048458,NA,0.38458501516315,0.514093398933766,"region","gedo"
"241","birth_where","idp_settlement","no_birth","no",0.0388548057259714,NA,0.0217146792578824,0.0559949321940603,"region","gedo"
"242","birth_where","idp_settlement","no_birth","yes",0.0352422907488987,NA,0.0112384992142556,0.0592460822835418,"region","gedo"
"243","birth_where","idp_settlement","traditional","no",0.0920245398773006,NA,0.0663864282247619,0.117662651529839,"region","gedo"
"244","birth_where","idp_settlement","traditional","yes",0.127753303964758,NA,0.0842978401590994,0.171208767770416,"region","gedo"
